Name,Phone Number,Address,Skills,Email,Previous Work Experience,Projects,Education,Licenses and Certifications
Derek Watson,241-683-8364,"4999 Amy Canyon Apt. 757, West Joseph, MS 99677","Statistics, Looker, SAS, Exploratory Data Analysis, Matplotlib",jeffreyjimenez@gmail.com,ETL Developer at FlowTech; Business Analyst at QRS Inc,Sales Forecasting; Real-time Data Pipeline,"MBA in Business Analytics, 2019",Cloudera Certified Associate (CCA) Data Analyst; Certified Analytics Professional (CAP); Google Data Analytics Certificate
Timothy Clark,119-956-7975,"99479 Ford Fields, North Theresachester, NJ 23601","Statistics, Tableau, Hadoop, Exploratory Data Analysis, Dash",ztucker@shaffer.com,Research Assistant at University of Data; Business Analyst at QRS Inc; Data Intern at XYZ Ltd; ETL Developer at FlowTech,Customer Segmentation; Sales Forecasting,"M.Tech in Data Analytics, 2015; M.Sc. in Statistics, 2017",AWS Certified Data Analytics – Specialty
Amy Perry,(675)858-2950,"9380 Sara Fall, Hansentown, NC 38967","ETL, NoSQL, Business Intelligence, Flask, RapidMiner",christine32@hotmail.com,ETL Developer at FlowTech; Junior Analyst at ABC Corp,Sales Forecasting; Fraud Detection System,"B.Sc. in Computer Science, 2022; B.Sc. in Computer Science, 2020",DataCamp Data Scientist; Udacity Data Analyst Nanodegree; Microsoft Certified: Data Analyst Associate
Jennifer Kline,+1-291-022-1714x9292,"813 Fitzgerald Common, East Tina, MT 60981","MATLAB, Statistics, Data Cleaning, Dash, Data Modelling",duncantodd@gibson.com,BI Developer at InsightWorks; Data Intern at XYZ Ltd; Research Assistant at University of Data; ETL Developer at FlowTech,Social Media Sentiment Analysis; Customer Segmentation,"B.Sc. in Computer Science, 2020; B.Sc. in Statistics, 2018",Google Data Analytics Certificate; DataCamp Data Scientist
Joe Lin,(396)367-5019,"74575 Lee Expressway, Hunterton, ND 89615","Business Intelligence, Snowflake, Seaborn, Matplotlib, TensorFlow",mclay@gay.biz,Business Analyst at QRS Inc; BI Developer at InsightWorks; SQL Developer at DBMasters,Marketing Campaign Analysis; Fraud Detection System; Social Media Sentiment Analysis,"B.Sc. in Computer Science, 2018; B.Tech in Computer Science, 2021",Google Data Analytics Certificate; SAS Certified Data Scientist
William Morris,001-777-456-6693x566,"287 Shepard Viaduct Suite 207, Lake Jeffreyborough, SC 04058","MATLAB, Exploratory Data Analysis, Kibana, NLP, Data Wrangling",adam78@gmail.com,SQL Developer at DBMasters; BI Developer at InsightWorks; Junior Analyst at ABC Corp,Social Media Sentiment Analysis; Real-time Data Pipeline; Sales Forecasting,"MBA in Business Analytics, 2022",Certified Analytics Professional (CAP); Microsoft Certified: Data Analyst Associate; IBM Data Science Professional Certificate
Jason Miller,039-486-5192,"7500 Lewis Loop, Howellport, AK 13786","Matplotlib, TensorFlow, Hadoop, Time Series Analysis, Excel",maureen02@hotmail.com,ETL Developer at FlowTech; Junior Analyst at ABC Corp,Social Media Sentiment Analysis; Real-time Data Pipeline; Fraud Detection System,"M.Sc. in Data Science, 2023",Google Data Analytics Certificate; Cloudera Certified Associate (CCA) Data Analyst
Ian Powell,1278032971,"PSC 8914, Box 9898, APO AE 93938","A/B Testing, TensorFlow, Qlik, Data Visualization, ETL",william50@hotmail.com,SQL Developer at DBMasters; Data Intern at XYZ Ltd; BI Developer at InsightWorks,Healthcare Data Analysis; Marketing Campaign Analysis; Churn Prediction,"B.Sc. in Mathematics, 2018",Cloudera Certified Associate (CCA) Data Analyst; AWS Certified Data Analytics – Specialty
Lori Hamilton,226-653-8595x94958,"04126 Sanchez Inlet Apt. 063, Carrollhaven, ID 81765","Snowflake, RapidMiner, R, Dash, Data Modelling",matthew54@collins-washington.com,ETL Developer at FlowTech; Business Analyst at QRS Inc; BI Developer at InsightWorks; Data Intern at XYZ Ltd,Marketing Campaign Analysis; Fraud Detection System,"MBA in Business Analytics, 2017; B.Tech in Information Technology, 2018",Certified Analytics Professional (CAP); DataCamp Data Scientist
Tammy Morrison,2113465596,"880 Samuel Landing Suite 644, Port Nicholas, ME 25046","R, D3.js, DataRobot, Kibana, Data Modelling",ppatterson@williams.com,Machine Learning Intern at AI Labs; Freelance Data Consultant,Marketing Campaign Analysis; Credit Risk Modeling,"M.Sc. in Statistics, 2023; M.Sc. in Data Science, 2020",Tableau Desktop Specialist; SAS Certified Data Scientist
Andrea Bell,812-645-6979x46374,"6701 Torres Spring, Davisville, NM 40878","Hadoop, Deep Learning, Amazon QuickSight, Statistics, Machine Learning",bentleylouis@burton-garcia.com,Freelance Data Consultant; Data Intern at XYZ Ltd,Churn Prediction; Marketing Campaign Analysis; Real-time Data Pipeline,"M.Sc. in Statistics, 2020; M.Sc. in Data Science, 2017",DataCamp Data Scientist; AWS Certified Data Analytics – Specialty
Christopher Mendez,(824)977-5775,"86340 Brown Square Suite 282, Lake Michaelchester, ME 73513","Matplotlib, Machine Learning, Data Mining, Keras, Power BI",owensjoshua@gmail.com,Junior Analyst at ABC Corp; Business Analyst at QRS Inc; Freelance Data Consultant,Customer Segmentation; Healthcare Data Analysis,"B.Tech in Computer Science, 2023; M.Tech in Data Analytics, 2023",Cloudera Certified Associate (CCA) Data Analyst; Udacity Data Analyst Nanodegree; Certified Analytics Professional (CAP)
Julie Mitchell,+1-614-560-6251,"7123 Miller Union Apt. 247, Jessicaland, WY 38205","R, SPSS, ETL, Jupyter, Google Sheets",barbaranicholson@lawson.com,Machine Learning Intern at AI Labs; Junior Analyst at ABC Corp; BI Developer at InsightWorks; Data Intern at XYZ Ltd,Sales Forecasting; E-commerce Dashboard; Healthcare Data Analysis,"B.Sc. in Statistics, 2018",Cloudera Certified Associate (CCA) Data Analyst; Tableau Desktop Specialist; Udacity Data Analyst Nanodegree
Alexandra Ashley,(583)321-3097x38605,"03137 Morgan Groves, Allisonstad, OK 03155","RapidMiner, NumPy, Statistics, Time Series Analysis, NLP",heather20@martinez-rowe.com,Data Visualization Specialist at DataViz Ltd; Business Analyst at QRS Inc; SQL Developer at DBMasters,Marketing Campaign Analysis; Fraud Detection System; E-commerce Dashboard,"M.Sc. in Data Science, 2016; M.Sc. in Data Science, 2017",Google Data Analytics Certificate; Udacity Data Analyst Nanodegree
Jonathan Wood,714-722-7819,"639 Todd Vista, Kristinfurt, OK 07403","Dash, NoSQL, SPSS, Data Visualization, Excel",marissa64@leonard.com,Data Intern at XYZ Ltd; SQL Developer at DBMasters,Sales Forecasting; E-commerce Dashboard,"M.Tech in Data Analytics, 2023; B.Tech in Computer Science, 2016",Cloudera Certified Associate (CCA) Data Analyst; Udacity Data Analyst Nanodegree; SAS Certified Data Scientist
Tammy Allen,497-371-3348x30712,"6199 Thomas Wells, Floreshaven, PA 65065","Snowflake, Data Governance, Data Mining, Amazon QuickSight, Spark",samantha29@kelly-austin.com,Machine Learning Intern at AI Labs; SQL Developer at DBMasters; Freelance Data Consultant; ETL Developer at FlowTech,Sales Forecasting; Real-time Data Pipeline,"M.Tech in Data Analytics, 2017",Udacity Data Analyst Nanodegree; AWS Certified Data Analytics – Specialty; DataCamp Data Scientist
Michelle Mercer,4149125570,"37860 Cassie Greens Suite 976, New Aaron, SC 59336","NumPy, Jupyter, Data Governance, Dash, BigQuery",edward19@martin-davila.biz,Data Visualization Specialist at DataViz Ltd; ETL Developer at FlowTech; Research Assistant at University of Data,Fraud Detection System; Credit Risk Modeling; Social Media Sentiment Analysis,"M.Tech in Data Analytics, 2018",Tableau Desktop Specialist
Bianca Scott,913-677-9290x6584,"2165 Alicia Square, Port Scotttown, AL 75643","SAS, NumPy, TensorFlow, Business Intelligence, Data Mining",bdunn@hotmail.com,Data Visualization Specialist at DataViz Ltd; Freelance Data Consultant,Fraud Detection System; Marketing Campaign Analysis; Sales Forecasting,"M.Sc. in Statistics, 2017",IBM Data Science Professional Certificate; Cloudera Certified Associate (CCA) Data Analyst; Microsoft Certified: Data Analyst Associate
Austin Shepard,(405)398-9591,"470 Amber Ford Suite 484, South Karentown, HI 89976","Looker, SAS, Tableau, Business Intelligence, Google Sheets",johnsoncynthia@munoz.com,SQL Developer at DBMasters; Junior Analyst at ABC Corp,Customer Segmentation; Marketing Campaign Analysis; Churn Prediction,"B.Sc. in Computer Science, 2015; M.Sc. in Data Science, 2017",Microsoft Certified: Data Analyst Associate
Michael Wilson,641-651-6151,"00287 Laurie Ferry Suite 727, Wrightland, NJ 26398","Kibana, NLP, SAS, Data Cleaning, DataRobot",jenny38@yahoo.com,Data Intern at XYZ Ltd; SQL Developer at DBMasters; ETL Developer at FlowTech,Social Media Sentiment Analysis; Sales Forecasting; Credit Risk Modeling,"M.Sc. in Data Science, 2023; MBA in Business Analytics, 2021",Google Data Analytics Certificate; IBM Data Science Professional Certificate; AWS Certified Data Analytics – Specialty
Ashley Barry,312-480-4556x7099,"3492 Adam Parkway, Ellishaven, NV 86056","Data Wrangling, AWS Redshift, BigQuery, Excel, NumPy",april91@salazar.com,Junior Analyst at ABC Corp; SQL Developer at DBMasters; Freelance Data Consultant,E-commerce Dashboard; Customer Segmentation; Marketing Campaign Analysis,"M.Sc. in Data Science, 2022",DataCamp Data Scientist
Dorothy Henson,528.371.0737x87194,"268 Paul Motorway Suite 854, Andersonshire, LA 28709","Snowflake, Looker, NoSQL, Data Governance, MATLAB",scottwilliam@yahoo.com,Junior Analyst at ABC Corp; Research Assistant at University of Data; BI Developer at InsightWorks,Customer Segmentation; Credit Risk Modeling,"B.Sc. in Computer Science, 2017",IBM Data Science Professional Certificate; SAS Certified Data Scientist
Penny Murray,709-355-6213x478,"05359 Bruce Extension Apt. 024, West William, KS 68899","Data Visualization, Jupyter, SPSS, Keras, A/B Testing",npatterson@noble-nguyen.com,Machine Learning Intern at AI Labs; Freelance Data Consultant,Fraud Detection System; Social Media Sentiment Analysis,"M.Sc. in Statistics, 2015",DataCamp Data Scientist; Udacity Data Analyst Nanodegree; IBM Data Science Professional Certificate
Sherry Green,089-839-3148,"9173 Andrea Shoals Apt. 130, Port Sean, ME 63130","Power BI, Data Wrangling, Google Data Studio, Python, SAS",rburns@luna-morton.com,Business Analyst at QRS Inc; Data Intern at XYZ Ltd; ETL Developer at FlowTech,Marketing Campaign Analysis; Real-time Data Pipeline; Fraud Detection System,"B.Sc. in Mathematics, 2017",Tableau Desktop Specialist; Microsoft Certified: Data Analyst Associate; Google Data Analytics Certificate
Linda Parker,+1-768-357-0444x5019,"1525 Park Mission, Gilberthaven, CT 79265","BigQuery, RapidMiner, Data Governance, Machine Learning, Amazon QuickSight",athomas@yahoo.com,Data Intern at XYZ Ltd; Freelance Data Consultant; SQL Developer at DBMasters,Social Media Sentiment Analysis; Fraud Detection System; E-commerce Dashboard,"M.Tech in Data Analytics, 2015; B.Sc. in Statistics, 2015",SAS Certified Data Scientist; Udacity Data Analyst Nanodegree; Cloudera Certified Associate (CCA) Data Analyst
Sabrina Taylor,+1-483-253-5714x9982,"974 Mark Islands Suite 840, South Krista, SC 10316","Seaborn, Excel, NLP, ETL, Google Data Studio",xdurham@gmail.com,BI Developer at InsightWorks; Data Visualization Specialist at DataViz Ltd,Social Media Sentiment Analysis; Churn Prediction; E-commerce Dashboard,"B.Sc. in Statistics, 2020; B.Tech in Computer Science, 2022",DataCamp Data Scientist; Microsoft Certified: Data Analyst Associate; Certified Analytics Professional (CAP)
Dr. Rachel Maldonado DDS,(447)723-5190,"2009 Patrick Key Suite 290, Burgessburgh, IN 36526","ETL, Google Analytics, NLP, SAS, Statistics",hardyamanda@brewer.com,Freelance Data Consultant; Data Intern at XYZ Ltd,E-commerce Dashboard; Real-time Data Pipeline; Social Media Sentiment Analysis,"B.Sc. in Statistics, 2021",SAS Certified Data Scientist; DataCamp Data Scientist; AWS Certified Data Analytics – Specialty
Amber Williams,5423571188,"PSC 5326, Box 7383, APO AE 45382","Python, Flask, Looker, Data Wrangling, DataRobot",ymartin@davis.com,Data Intern at XYZ Ltd; BI Developer at InsightWorks; Machine Learning Intern at AI Labs; Data Visualization Specialist at DataViz Ltd,Marketing Campaign Analysis; Real-time Data Pipeline,"B.Tech in Computer Science, 2015; M.Sc. in Data Science, 2015",IBM Data Science Professional Certificate; AWS Certified Data Analytics – Specialty; Udacity Data Analyst Nanodegree
Sandra Sanchez,639-797-5809,"8081 Holt Centers, West Gabriellamouth, LA 86255","Google Analytics, R, SPSS, Qlik, D3.js",qfisher@ward.com,Business Analyst at QRS Inc; Junior Analyst at ABC Corp; Freelance Data Consultant,Churn Prediction; Sales Forecasting,"B.Sc. in Mathematics, 2022; B.Sc. in Mathematics, 2020",Udacity Data Analyst Nanodegree
Michael Moreno,(159)135-1977x5765,"0718 Gina Ridges, Allentown, HI 66348","SPSS, Exploratory Data Analysis, TensorFlow, Snowflake, Flask",thomasrichardson@brown-thomas.org,Freelance Data Consultant; Junior Analyst at ABC Corp; ETL Developer at FlowTech; BI Developer at InsightWorks,Churn Prediction; E-commerce Dashboard,"M.Sc. in Statistics, 2019; MBA in Business Analytics, 2015",Google Data Analytics Certificate
Amy Lee,+1-065-560-2204x299,"851 Kevin Lakes, Stoneville, MS 86399","Keras, SAS, Tableau, Matplotlib, Spark",perkinsjoshua@anderson.com,Machine Learning Intern at AI Labs; Data Intern at XYZ Ltd; BI Developer at InsightWorks; Research Assistant at University of Data,Healthcare Data Analysis; Marketing Campaign Analysis; Social Media Sentiment Analysis,"M.Sc. in Statistics, 2020; MBA in Business Analytics, 2022",AWS Certified Data Analytics – Specialty; Cloudera Certified Associate (CCA) Data Analyst
Kimberly Bates,775.891.2711,"589 Lisa Park Suite 343, East Benjamintown, SD 03229","Time Series Analysis, TensorFlow, Looker, Seaborn, BigQuery",barnespatricia@yahoo.com,Business Analyst at QRS Inc; Junior Analyst at ABC Corp; Freelance Data Consultant; SQL Developer at DBMasters,E-commerce Dashboard; Credit Risk Modeling; Social Media Sentiment Analysis,"B.Sc. in Statistics, 2017",Certified Analytics Professional (CAP); IBM Data Science Professional Certificate; DataCamp Data Scientist
Lori Woodward,852.444.9060,"920 Sandra Path Suite 782, West Elizabethmouth, ID 87322","Pandas, Excel, Machine Learning, SPSS, Google Sheets",randallburke@dawson.com,Freelance Data Consultant; Data Intern at XYZ Ltd; ETL Developer at FlowTech,Fraud Detection System; Healthcare Data Analysis; Customer Segmentation,"B.Sc. in Statistics, 2022; B.Tech in Computer Science, 2021",SAS Certified Data Scientist; DataCamp Data Scientist
Elizabeth Holland,(676)497-8458x5240,"1934 Orr Cliff Suite 486, East Matthewbury, NY 99368","Deep Learning, Data Visualization, Pandas, Data Governance, DataRobot",lisa26@shah-chang.biz,BI Developer at InsightWorks; Data Visualization Specialist at DataViz Ltd,Churn Prediction; Real-time Data Pipeline; Customer Segmentation,"MBA in Business Analytics, 2018",Cloudera Certified Associate (CCA) Data Analyst; AWS Certified Data Analytics – Specialty
Karen Smith,241.566.4528x829,"9972 Brandon Bypass, Anneport, ME 81157","A/B Testing, Excel, D3.js, Machine Learning, Pandas",ifrank@craig.com,BI Developer at InsightWorks; Research Assistant at University of Data; Business Analyst at QRS Inc,Fraud Detection System; Marketing Campaign Analysis; Churn Prediction,"B.Tech in Information Technology, 2015",AWS Certified Data Analytics – Specialty
John Summers,217.565.2046x11500,"0105 Leonard Well, Davismouth, IN 75305","Apache Airflow, NLP, Excel, Business Intelligence, Pandas",jasontaylor@yahoo.com,Data Visualization Specialist at DataViz Ltd; BI Developer at InsightWorks,Real-time Data Pipeline; Social Media Sentiment Analysis,"B.Tech in Information Technology, 2021",Udacity Data Analyst Nanodegree; Certified Analytics Professional (CAP)
Allen Mcdonald,001-047-434-4191x886,"4890 Joanne Lock, Michaelport, CA 90809","Hadoop, Deep Learning, Matplotlib, Statistics, Dash",wolfejennifer@armstrong.com,Research Assistant at University of Data; Business Analyst at QRS Inc; Freelance Data Consultant,Social Media Sentiment Analysis; Customer Segmentation; Credit Risk Modeling,"M.Sc. in Data Science, 2019",AWS Certified Data Analytics – Specialty; DataCamp Data Scientist; Google Data Analytics Certificate
Robert Garcia,742-687-5038x145,"43819 Douglas Plaza, Barreramouth, DE 69824","Power BI, Statistics, Flask, Exploratory Data Analysis, SPSS",dhancock@wood.biz,Machine Learning Intern at AI Labs; Research Assistant at University of Data,E-commerce Dashboard; Fraud Detection System; Churn Prediction,"B.Sc. in Mathematics, 2021",DataCamp Data Scientist
Alan Weber,+1-708-056-9440x552,"15247 Fernandez Dale, West Henry, MN 40496","NLP, Kibana, Data Mining, A/B Testing, Data Cleaning",jaredcrane@yahoo.com,BI Developer at InsightWorks; ETL Developer at FlowTech; Business Analyst at QRS Inc,Customer Segmentation; Churn Prediction; Sales Forecasting,"MBA in Business Analytics, 2017; B.Sc. in Mathematics, 2018",Cloudera Certified Associate (CCA) Data Analyst
Raymond Hancock,001-728-379-3983,"59520 Sean Harbors Suite 347, East Thomas, NV 24181","Business Intelligence, Matplotlib, Python, RapidMiner, Data Modelling",christopher87@yahoo.com,Data Intern at XYZ Ltd; BI Developer at InsightWorks; Junior Analyst at ABC Corp; Freelance Data Consultant,E-commerce Dashboard; Customer Segmentation,"MBA in Business Analytics, 2018",Udacity Data Analyst Nanodegree
Zachary Diaz,(020)274-0940x35704,"591 Karen Passage Apt. 475, Davisburgh, MD 16925","AWS Redshift, Data Modelling, Statistics, D3.js, Keras",qschwartz@yahoo.com,Data Intern at XYZ Ltd; ETL Developer at FlowTech; BI Developer at InsightWorks; Freelance Data Consultant,Churn Prediction; Customer Segmentation; Healthcare Data Analysis,"M.Tech in Data Analytics, 2019; B.Sc. in Statistics, 2019",Tableau Desktop Specialist; DataCamp Data Scientist; AWS Certified Data Analytics – Specialty
Patrick Parsons,301.197.0959,"99815 Samantha Plains, East Feliciafort, TN 69575","Exploratory Data Analysis, Data Mining, ETL, A/B Testing, Spark",zgray@gmail.com,BI Developer at InsightWorks; Research Assistant at University of Data; SQL Developer at DBMasters; Data Intern at XYZ Ltd,Credit Risk Modeling; E-commerce Dashboard; Sales Forecasting,"M.Sc. in Data Science, 2021; B.Tech in Information Technology, 2016",SAS Certified Data Scientist; Microsoft Certified: Data Analyst Associate
Michael Frazier,+1-125-041-3500x49876,"72515 Foster Club Suite 850, North Yvetteshire, AL 92125","SQL, SPSS, Business Intelligence, Kibana, Hadoop",colechristy@bailey.net,Data Visualization Specialist at DataViz Ltd; BI Developer at InsightWorks,Customer Segmentation; Healthcare Data Analysis,"MBA in Business Analytics, 2015",Tableau Desktop Specialist; AWS Certified Data Analytics – Specialty
Lisa Marshall,2846063293,"8962 Regina Lodge, Charlesview, MD 51531","NumPy, SPSS, Tableau, Spark, A/B Testing",ricardo26@yahoo.com,Machine Learning Intern at AI Labs; BI Developer at InsightWorks,E-commerce Dashboard; Churn Prediction,"MBA in Business Analytics, 2023; M.Sc. in Statistics, 2021",Microsoft Certified: Data Analyst Associate; AWS Certified Data Analytics – Specialty
Gabriel Franklin,885-710-9498x64305,"022 Michelle Dale Apt. 804, Davischester, DE 60300","AWS Redshift, Flask, Data Wrangling, SQL, Python",thomas51@russell.net,Business Analyst at QRS Inc; SQL Developer at DBMasters; Data Visualization Specialist at DataViz Ltd,Customer Segmentation; Marketing Campaign Analysis,"B.Sc. in Computer Science, 2016; M.Tech in Data Analytics, 2017",SAS Certified Data Scientist; IBM Data Science Professional Certificate
John Hudson,001-097-019-1136x904,"930 Collins Village, South Katie, AK 67509","Data Mining, Keras, NoSQL, Snowflake, Machine Learning",zevans@gmail.com,ETL Developer at FlowTech; Freelance Data Consultant; BI Developer at InsightWorks; Data Intern at XYZ Ltd,Sales Forecasting; Healthcare Data Analysis; Social Media Sentiment Analysis,"B.Tech in Computer Science, 2015; M.Sc. in Data Science, 2019",Udacity Data Analyst Nanodegree
Morgan Bowman,+1-311-625-6639x477,"PSC 1979, Box 0472, APO AP 81662","AWS Redshift, RapidMiner, Deep Learning, Data Visualization, Python",christopher48@hotmail.com,Machine Learning Intern at AI Labs; BI Developer at InsightWorks; SQL Developer at DBMasters,E-commerce Dashboard; Churn Prediction; Real-time Data Pipeline,"B.Sc. in Mathematics, 2021; B.Sc. in Statistics, 2023",AWS Certified Data Analytics – Specialty
Oscar Washington,+1-120-759-0218x54082,"86102 Valdez Skyway, Tiffanyville, MA 91856","MATLAB, A/B Testing, Google Sheets, RapidMiner, Pandas",munozkelsey@gmail.com,BI Developer at InsightWorks; Data Intern at XYZ Ltd,E-commerce Dashboard; Social Media Sentiment Analysis,"B.Sc. in Statistics, 2016",AWS Certified Data Analytics – Specialty
Jennifer Larson DVM,344-966-8309x28408,"14672 Jones Dam Apt. 130, South Antonio, NV 89779","Looker, Amazon QuickSight, Excel, D3.js, Dash",bishopgregory@williams.net,Research Assistant at University of Data; BI Developer at InsightWorks,Churn Prediction; E-commerce Dashboard,"M.Sc. in Statistics, 2023; M.Sc. in Data Science, 2016",Certified Analytics Professional (CAP)
Jackson Cook,402.006.2349x740,"Unit 0197 Box 8064, DPO AP 64736","Tableau, A/B Testing, NumPy, RapidMiner, Matplotlib",karenbrady@gilbert-waters.com,Business Analyst at QRS Inc; SQL Developer at DBMasters,Social Media Sentiment Analysis; Healthcare Data Analysis,"B.Tech in Information Technology, 2021",DataCamp Data Scientist
James Robinson,001-109-921-2819x12410,"88712 Ronald Harbor, North Sethfurt, DE 76550","BigQuery, NLP, Data Cleaning, ETL, DataRobot",michaellloyd@yahoo.com,SQL Developer at DBMasters; Junior Analyst at ABC Corp,Credit Risk Modeling; Social Media Sentiment Analysis,"B.Sc. in Computer Science, 2021; B.Sc. in Mathematics, 2022",Udacity Data Analyst Nanodegree; AWS Certified Data Analytics – Specialty; Microsoft Certified: Data Analyst Associate
Christopher Gibson,+1-211-268-6995x600,"078 Meyer Prairie, Grahamside, DE 82895","Keras, NumPy, Data Visualization, A/B Testing, Python",palexander@hotmail.com,Machine Learning Intern at AI Labs; Junior Analyst at ABC Corp; SQL Developer at DBMasters; Freelance Data Consultant,Fraud Detection System; Sales Forecasting; Customer Segmentation,"B.Sc. in Mathematics, 2016",Cloudera Certified Associate (CCA) Data Analyst
Darren Walker,(763)343-9991x583,"46837 Ortiz Squares, Douglasbury, ME 24086","ETL, R, Hadoop, Apache Airflow, SQL",monicarivera@hotmail.com,Research Assistant at University of Data; Data Intern at XYZ Ltd,Marketing Campaign Analysis; Real-time Data Pipeline; E-commerce Dashboard,"B.Tech in Computer Science, 2020",SAS Certified Data Scientist; Udacity Data Analyst Nanodegree
Jamie Thornton,735-681-2678,"679 Pearson Walks Apt. 709, West Lisa, IL 73033","Looker, Apache Airflow, D3.js, Deep Learning, RapidMiner",kleblanc@rodriguez.org,Business Analyst at QRS Inc; ETL Developer at FlowTech; Research Assistant at University of Data,E-commerce Dashboard; Marketing Campaign Analysis,"M.Tech in Data Analytics, 2016",IBM Data Science Professional Certificate; Microsoft Certified: Data Analyst Associate; Udacity Data Analyst Nanodegree
Donald Hubbard,713-722-5787x160,"89222 Mark Mission Suite 689, Anthonyborough, DE 96311","Pandas, Dash, Kibana, NoSQL, Data Wrangling",dbass@grant-brown.com,Data Intern at XYZ Ltd; SQL Developer at DBMasters; BI Developer at InsightWorks,Real-time Data Pipeline; Credit Risk Modeling,"B.Tech in Computer Science, 2015; B.Sc. in Computer Science, 2018",Udacity Data Analyst Nanodegree
Megan Clark,921.541.2535,"79791 Erickson Loaf, East Cory, ID 75465","Tableau, Dash, Spark, Data Cleaning, Data Governance",tchambers@davis.biz,Research Assistant at University of Data; Freelance Data Consultant,E-commerce Dashboard; Sales Forecasting; Churn Prediction,"MBA in Business Analytics, 2019",Certified Analytics Professional (CAP)
Carrie Edwards,+1-494-341-2036x04506,"3975 Anderson Estate Suite 841, New Gabriellabury, TN 60607","Business Intelligence, Excel, Python, Data Modelling, DataRobot",karen95@gmail.com,ETL Developer at FlowTech; Business Analyst at QRS Inc; SQL Developer at DBMasters,Healthcare Data Analysis; Real-time Data Pipeline,"B.Tech in Information Technology, 2020",Udacity Data Analyst Nanodegree; Certified Analytics Professional (CAP)
Marcus Estes,+1-700-407-8170x141,"43433 Tony Road Apt. 294, South David, OK 51321","A/B Testing, BigQuery, Flask, D3.js, Spark",willie00@mendoza-mitchell.com,BI Developer at InsightWorks; Data Visualization Specialist at DataViz Ltd; Freelance Data Consultant; Business Analyst at QRS Inc,Fraud Detection System; Sales Forecasting,"MBA in Business Analytics, 2019; MBA in Business Analytics, 2018",Certified Analytics Professional (CAP); Cloudera Certified Associate (CCA) Data Analyst
Bryan Cox,662.905.2948x07106,"47781 Dillon Knoll Suite 517, Scottbury, NH 40002","Data Visualization, NumPy, ETL, Amazon QuickSight, Pandas",fward@potter-williams.net,Research Assistant at University of Data; Machine Learning Intern at AI Labs; ETL Developer at FlowTech; Data Visualization Specialist at DataViz Ltd,Sales Forecasting; Credit Risk Modeling; Churn Prediction,"B.Tech in Computer Science, 2016; B.Sc. in Computer Science, 2021",Microsoft Certified: Data Analyst Associate; Certified Analytics Professional (CAP); SAS Certified Data Scientist
Mr. Timothy Davis,(688)756-4664,"2753 Kathryn Drives Apt. 025, Davidchester, MO 67815","Pandas, Data Cleaning, Data Governance, NoSQL, Matplotlib",chelsea52@reed.org,Business Analyst at QRS Inc; Machine Learning Intern at AI Labs,E-commerce Dashboard; Sales Forecasting,"M.Tech in Data Analytics, 2017; B.Sc. in Statistics, 2022",Certified Analytics Professional (CAP); SAS Certified Data Scientist
Marc Clark,016-400-4305,"391 Suzanne Mountain Suite 769, Lake Russell, MD 85167","Data Visualization, AWS Redshift, Data Cleaning, Matplotlib, Tableau",lisashaw@huff.org,ETL Developer at FlowTech; Business Analyst at QRS Inc; Research Assistant at University of Data; Machine Learning Intern at AI Labs,Customer Segmentation; Real-time Data Pipeline; Healthcare Data Analysis,"B.Sc. in Statistics, 2023",SAS Certified Data Scientist; Google Data Analytics Certificate; DataCamp Data Scientist
Danielle Ward,(404)671-3672,"681 Martinez Rue, Phillipsborough, TN 68162","RapidMiner, BigQuery, Google Analytics, Qlik, R",tammykrueger@alvarez-smith.com,Research Assistant at University of Data; Business Analyst at QRS Inc; ETL Developer at FlowTech,Credit Risk Modeling; Marketing Campaign Analysis; Real-time Data Pipeline,"B.Tech in Information Technology, 2021; M.Tech in Data Analytics, 2015",DataCamp Data Scientist; Cloudera Certified Associate (CCA) Data Analyst
Christina Silva DDS,+1-206-524-9623x16060,"95676 Franklin Meadows Apt. 727, Port Phillipton, AK 32129","Hadoop, Data Visualization, Power BI, SPSS, Amazon QuickSight",james95@hotmail.com,SQL Developer at DBMasters; Junior Analyst at ABC Corp,Sales Forecasting; Fraud Detection System; Healthcare Data Analysis,"MBA in Business Analytics, 2015",Microsoft Certified: Data Analyst Associate
Cheryl Randolph,(985)640-1773,"4310 Rodriguez Shores, Port Robertport, CT 46283","Google Analytics, Looker, Keras, Jupyter, Data Governance",lisa30@yahoo.com,Business Analyst at QRS Inc; ETL Developer at FlowTech,Customer Segmentation; E-commerce Dashboard,"M.Sc. in Data Science, 2019; B.Sc. in Mathematics, 2022",IBM Data Science Professional Certificate
Margaret Bartlett,606-726-2884,"783 Chad Alley Suite 520, Aprilborough, VA 46727","Time Series Analysis, Google Sheets, AWS Redshift, Matplotlib, ETL",vickiemathis@braun.com,Data Intern at XYZ Ltd; Research Assistant at University of Data; ETL Developer at FlowTech; Junior Analyst at ABC Corp,Real-time Data Pipeline; Sales Forecasting; E-commerce Dashboard,"B.Tech in Information Technology, 2019",DataCamp Data Scientist
James King,5002385113,"437 Bobby Hollow Apt. 577, East Dustin, IN 89708","A/B Testing, Data Governance, SAS, NLP, SPSS",margaret11@ayala.org,Data Intern at XYZ Ltd; BI Developer at InsightWorks; Freelance Data Consultant,Churn Prediction; Social Media Sentiment Analysis; E-commerce Dashboard,"B.Tech in Computer Science, 2022",Udacity Data Analyst Nanodegree
